一	yī
乙	yǐ
二	èr
十	shí
丁	dīng
丁	zhēng
厂	chǎng
厂	ān
厂	hàn
七	qī
卜	bǔ
卜	bo
八	bā
人	rén
入	rù
儿	ér
匕	bǐ
几	jī
几	jǐ
九	jiǔ
刁	diāo
了	le
了	liǎo
刀	dāo
力	lì
乃	nǎi
又	yòu
三	sān
干	gān
干	gàn
于	yú
亏	kuī
工	gōng
土	tǔ
士	shì
才	cái
下	xià
寸	cùn
大	dà
大	dài
大	tài
丈	zhàng
与	yǔ
与	yù
与	yú
万	wàn
万	mò
上	shàng
上	shǎng
小	xiǎo
口	kǒu
山	shān
巾	jīn
千	qiān
乞	qǐ
川	chuān
亿	yì
个	gè
个	gě
夕	xī
久	jiǔ
么	me
么	mó
么	ma
么	yāo
勺	sháo
凡	fán
丸	wán
及	jí
广	guǎng
广	ān
亡	wáng
亡	wú
门	mén
丫	yā
义	yì
之	zhī
尸	shī
己	jǐ
已	yǐ
巳	sì
弓	gōng
子	zǐ
卫	wèi
也	yě
女	nǚ
女	rǔ
刃	rèn
飞	fēi
习	xí
叉	chā
叉	chá
叉	chǎ
马	mǎ
乡	xiāng
丰	fēng
王	wáng
王	wàng
开	kāi
井	jǐng
天	tiān
夫	fū
夫	fú
元	yuán
无	wú
无	mó
云	yún
专	zhuān
丐	gài
扎	zā
扎	zhā
扎	zhá
艺	yì
木	mù
五	wǔ
支	zhī
厅	tīng
不	bù
不	fǒu
犬	quǎn
太	tài
区	qū
区	ōu
历	lì
歹	dǎi
友	yǒu
尤	yóu
匹	pǐ
车	chē
车	jū
巨	jù
牙	yá
屯	tún
屯	zhūn
戈	gē
比	bǐ
互	hù
切	qiē
切	qiè
瓦	wǎ
瓦	wà
止	zhǐ
少	shǎo
少	shào
曰	yuē
日	rì
中	zhōng
中	zhòng
贝	bèi
冈	gāng
内	nèi
内	nà
水	shuǐ
见	jiàn
见	xiàn
午	wǔ
牛	niú
手	shǒu
气	qì
毛	máo
壬	rén
升	shēng
夭	yāo
长	cháng
长	zhǎng
仁	rén
什	shí
什	shén
片	piàn
片	piān
仆	pū
仆	pú
化	huà
化	huā
仇	chóu
仇	qiú
币	bì
仍	réng
仅	jǐn
仅	jìn
斤	jīn
爪	zhǎo
爪	zhuǎ
反	fǎn
介	jiè
父	fù
父	fǔ
从	cóng
从	zòng
仑	lún
今	jīn
凶	xiōng
分	fēn
分	fèn
乏	fá
公	gōng
仓	cāng
月	yuè
氏	shì
氏	zhī
勿	wù
欠	qiàn
风	fēng
风	fěng
丹	dān
匀	yún
乌	wū
勾	gōu
勾	gòu
凤	fèng
六	liù
六	lù
文	wén
亢	kàng
方	fāng
火	huǒ
为	wéi
为	wèi
斗	dǒu
斗	dòu
忆	yì
计	jì
订	dìng
户	hù
认	rèn
冗	rǒng
讥	jī
心	xīn
尺	chǐ
尺	chě
引	yǐn
丑	chǒu
巴	bā
孔	kǒng
队	duì
办	bàn
以	yǐ
允	yǔn
予	yú
予	yǔ
邓	dèng
劝	quàn
双	shuāng
书	shū
幻	huàn
玉	yù
刊	kān
未	wèi
末	mò
示	shì
击	jī
打	dǎ
打	dá
巧	qiǎo
正	zhèng
正	zhēng
扑	pū
卉	huì
扒	bā
扒	pá
功	gōng
扔	rēng
去	qù
甘	gān
世	shì
艾	ài
艾	yì
古	gǔ
节	jié
节	jiē
本	běn
术	shù
术	shú
术	zhú
可	kě
可	kè
丙	bǐng
左	zuǒ
厉	lì
石	shí
石	dàn
右	yòu
布	bù
夯	hāng
夯	bèn
戊	wù
龙	lóng
平	píng
灭	miè
轧	yà
轧	zhá
轧	gá
东	dōng
卡	kǎ
卡	qiǎ
北	běi
北	bèi
占	zhān
占	zhàn
凸	tū
卢	lú
业	yè
旧	jiù
帅	shuài
归	guī
旦	dàn
目	mù
且	qiě
且	jū
叶	yè
叶	xié
甲	jiǎ
申	shēn
叮	dīng
电	diàn
号	hào
号	háo
田	tián
由	yóu
只	zhī
只	zhǐ
叭	bā
史	shǐ
央	yāng
兄	xiōng
叽	jī
叼	diāo
叫	jiào
叩	kòu
叨	tāo
叨	dāo
另	lìng
叹	tàn
冉	rǎn
皿	mǐn
凹	āo
凹	wā
囚	qiú
四	sì
生	shēng
矢	shǐ
失	shī
乍	zhà
禾	hé
丘	qiū
付	fù
仗	zhàng
代	dài
仙	xiān
们	mén
仪	yí
白	bái
仔	zī
仔	zǐ
仔	zǎi
他	tā
斥	chì
瓜	guā
乎	hū
丛	cóng
令	líng
令	lǐng
令	lìng
用	yòng
甩	shuǎi
印	yìn
尔	ěr
乐	lè
乐	yuè
乐	yào
乐	lào
句	jù
句	gōu
匆	cōng
册	cè
卯	mǎo
犯	fàn
外	wài
处	chǔ
处	chù
冬	dōng
鸟	niǎo
鸟	diǎo
务	wù
包	bāo
饥	jī
主	zhǔ
市	shì
立	lì
冯	féng
冯	píng
玄	xuán
闪	shǎn
兰	lán
半	bàn
汁	zhī
汇	huì
头	tóu
头	tou
汉	hàn
宁	níng
宁	nìng
宁	zhù
穴	xué
它	tā
讨	tǎo
写	xiě
让	ràng
礼	lǐ
训	xùn
议	yì
必	bì
讯	xùn
记	jì
永	yǒng
司	sī
尼	ní
民	mín
弗	fú
弘	hóng
出	chū
辽	liáo
奶	nǎi
奴	nú
召	zhào
召	shào
加	jiā
皮	pí
边	biān
孕	yùn
发	fā
发	fà
圣	shèng
对	duì
台	tái
台	tāi
矛	máo
纠	jiū
母	mǔ
幼	yòu
丝	sī
邦	bāng
式	shì
迂	yū
刑	xíng
戎	róng
动	dòng
扛	káng
扛	gāng
寺	sì
吉	jí
扣	kòu
考	kǎo
托	tuō
老	lǎo
巩	gǒng
圾	jī
执	zhí
扩	kuò
扫	sǎo
扫	sào
地	dì
地	de
场	cháng
场	chǎng
扬	yáng
耳	ěr
芋	yù
共	gòng
共	gōng
芒	máng
亚	yà
芝	zhī
朽	xiǔ
朴	pǔ
朴	pò
朴	pō
朴	piáo
机	jī
权	quán
过	guò
过	guo
过	guō
臣	chén
吏	lì
再	zài
协	xié
西	xī
压	yā
压	yà
厌	yàn
戌	xū
在	zài
百	bǎi
有	yǒu
有	yòu
存	cún
而	ér
页	yè
匠	jiàng
夸	kuā
夸	kuà
夺	duó
灰	huī
达	dá
列	liè
死	sǐ
成	chéng
夹	jiā
夹	jiá
夹	gā
夷	yí
轨	guǐ
邪	xié
邪	yá
邪	yé
邪	yú
邪	xú
尧	yáo
划	huá
划	huà
划	huai
划	guò
划	guǒ
迈	mài
毕	bì
至	zhì
此	cǐ
贞	zhēn
师	shī
尘	chén
尖	jiān
