一	m
乙	nu
二	mm
十	j
丁	mn
厂	mh
七	ju
卜	y
八	ho
人	o
入	oh
儿	lu
匕	uh
几	hn
九	kn
刁	sm
了	nn
刀	sh
力	ks
乃	nhs
又	nk
三	mmm
干	mj
于	md
亏	mmvs
工	mlm
土	g
士	jm
才	dh
下	my
寸	di
大	k
丈	jk
与	ysm
万	ms
上	ym
小	nc
口	r
山	u
巾	lb
千	hj
乞	on
川	lll
亿	on
个	ol
夕	ni
久	no
么	hi
勺	pm
凡	hni
丸	kni
及	nhe
广	yh
亡	yv
门	lis
丫	cl
义	ik
之	ino
尸	s
己	su
已	su
巳	ru
弓	n
子	nd
卫	slm
也	pd
女	v
刃	shi
飞	no
习	sim
叉	ei
马	nvsm
乡	vvh
丰	qj
王	mg
开	mt
井	tt
天	mk
夫	qo
元	mmu
无	mku
云	mmi
专	qni
丐	myvs
扎	qu
艺	tn
木	d
五	mdm
支	je
厅	mmn
不	mf
犬	ik
太	ki
区	sk
历	mks
歹	mni
友	ke
尤	iku
匹	sc
车	kq
巨	ss
牙	mvdh
屯	pu
戈	i
比	pp
互	mvnm
切	psh
瓦	mvni
止	ylm
少	fh
曰	a
日	a
中	l
贝	bo
冈	bk
内	ob
水	e
见	bhu
午	oj
牛	hq
手	q
气	omn
毛	hqu
壬	hg
升	ht
夭	hk
长	po
仁	omm
什	oj
片	llml
仆	oy
化	op
仇	okn
币	hlb
仍	onhs
仅	oe
斤	hml
爪	hlo
反	he
介	oll
父	ck
从	oo
仑	op
今	oin
凶	uk
分	csh
乏	hino
公	ci
仓	osu
月	b
氏	hvp
勿	phh
欠	no
风	hnk
丹	by
匀	pim
乌	pvsm
勾	pi
凤	hne
六	yc
文	yk
亢	yhn
方	yhs
火	f
为	iksi
斗	yj
忆	pn
计	ivj
订	ivmn
户	is
认	ivo
冗	bhn
讥	ivhn
心	p
尺	so
引	nl
丑	ng
巴	au
孔	ndu
队	nlo
办	ksc
以	vio
允	ihu
予	ninn
邓	enl
劝	eks
双	ee
书	ids
幻	vis
玉	mgi
刊	mjln
未	jd
末	dj
示	mmf
击	qu
打	qmn
巧	mmvs
正	mylm
扑	qy
卉	jt
扒	qc
功	mks
扔	qnhs
去	gi
甘	tm
世	pt
艾	tk
古	jr
节	tsl
本	dm
术	id
可	mnr
丙	mob
左	km
厉	mms
石	mr
右	kr
布	klb
夯	kks
戊	ih
龙	ikp
平	mfj
灭	mf
轧	kqu
东	kd
卡	ymy
北	lmp
占	yr
凸	bss
卢	ys
业	tc
旧	la
帅	lllb
归	llsm
旦	am
目	bu
且	bm
叶	rj
甲	wl
申	lwl
叮	rmn
电	lwu
号	rmvs
田	w
由	lw
只	rc
叭	rc
史	lk
央	lbk
兄	rhu
叽	rhn
叼	rsm
叫	rvl
叩	rsl
叨	rsh
另	rks
叹	re
冉	gb
皿	bt
凹	ssu
囚	wo
四	wc
生	hqm
矢	ok
失	hqo
乍	os
禾	hd
丘	om
付	odi
仗	ojk
代	oip
仙	ou
们	olis
仪	oik
白	ha
仔	ond
他	opd
斥	hmy
瓜	hvio
乎	hfd
丛	oom
令	oini
用	bq
甩	bqu
印	hpsl
尔	nf
乐	hvd
句	pr
匆	pkk
册	bbm
卯	hhsl
犯	khsu
外	niy
处	heo
冬	hey
鸟	pysm
务	heks
包	pru
饥	nvhn
主	yg
