一	m
乙	nu
二	mm
十	j
丁	mn
厂	mh
七	ju
卜	y
八	ho
人	o
入	oh
儿	lu
匕	uh
几	hn
九	kn
刁	sm
了	nn
刀	sh
力	ks
乃	ns
又	nk
三	mm
干	mj
于	md
亏	ms
工	mm
土	g
士	jm
才	dh
下	my
寸	di
大	k
丈	jk
与	ym
万	ms
上	ym
小	nc
口	r
山	u
巾	lb
千	hj
乞	on
川	ll
亿	on
个	ol
夕	ni
久	no
么	hi
勺	pm
凡	hi
丸	ki
及	ne
广	yh
亡	yv
门	ls
丫	cl
义	ik
之	io
尸	s
己	su
已	su
巳	ru
弓	n
子	nd
卫	sm
也	pd
女	v
刃	si
飞	no
习	sm
叉	ei
马	nm
乡	vh
丰	qj
王	mg
开	mt
井	tt
天	mk
夫	qo
元	mu
无	mu
云	mi
专	qi
丐	ms
扎	qu
艺	tn
木	d
五	mm
支	je
厅	mn
不	mf
犬	ik
太	ki
区	sk
历	ms
歹	mi
友	ke
尤	iu
匹	sc
车	kq
巨	ss
牙	mh
屯	pu
戈	i
比	pp
互	mm
切	ph
瓦	mi
止	ym
少	fh
曰	a
日	a
中	l
贝	bo
冈	bk
内	ob
水	e
见	bu
午	oj
牛	hq
手	q
气	on
毛	hu
壬	hg
升	ht
夭	hk
长	po
仁	om
什	oj
片	ll
仆	oy
化	op
仇	on
币	hb
仍	os
仅	oe
斤	hl
爪	ho
反	he
介	ol
父	ck
从	oo
仑	op
今	on
凶	uk
分	ch
乏	ho
公	ci
仓	ou
月	b
氏	hp
勿	ph
欠	no
风	hk
丹	by
匀	pm
乌	pm
勾	pi
凤	he
六	yc
文	yk
亢	yn
方	ys
火	f
为	ii
斗	yj
忆	pn
计	ij
订	in
户	is
认	io
冗	bn
讥	in
心	p
尺	so
引	nl
丑	ng
巴	au
孔	nu
队	no
办	kc
以	vo
允	iu
予	nn
邓	el
劝	es
双	ee
书	is
幻	vs
玉	mi
刊	mn
未	jd
末	dj
示	mf
击	qu
打	qn
巧	ms
正	mm
扑	qy
卉	jt
扒	qc
功	ms
扔	qs
去	gi
甘	tm
世	pt
艾	tk
古	jr
节	tl
本	dm
术	id
可	mr
丙	mb
左	km
厉	ms
石	mr
右	kr
布	kb
夯	ks
戊	ih
龙	ip
平	mj
灭	mf
轧	ku
东	kd
卡	yy
北	lp
占	yr
凸	bs
卢	ys
业	tc
旧	la
帅	lb
归	lm
旦	am
目	bu
且	bm
叶	rj
甲	wl
申	ll
叮	rn
电	lu
号	rs
田	w
由	lw
只	rc
叭	rc
史	lk
央	lk
兄	ru
叽	rn
叼	rm
叫	rl
叩	rl
叨	rh
另	rs
叹	re
冉	gb
皿	bt
凹	su
囚	wo
四	wc
生	hm
矢	ok
失	ho
乍	os
禾	hd
丘	om
付	oi
仗	ok
代	op
仙	ou
们	os
仪	ok
白	ha
仔	od
他	od
斥	hy
瓜	ho
乎	hd
丛	om
令	oi
用	bq
甩	bu
印	hl
尔	nf
乐	hd
句	pr
匆	pk
册	bm
卯	hl
犯	ku
外	ny
处	ho
冬	hy
鸟	pm
务	hs
包	pu
饥	nn
主	yg
市	yb
立	yt
冯	im
玄	yi
闪	lo
兰	tm
半	fq
汁	ej
汇	es
头	yk
汉	ee
宁	jn
穴	jc
它	jp
讨	ii
写	bm
让	im
礼	iu
训	il
议	ik
必	ph
