一	yim
乙	yinu
二	ermm
十	uij
丁	dymn
丁	vgmn
厂	ihmh
厂	jmh
厂	hjmh
七	qiju
卜	buy
卜	boy
八	baho
人	rfo
入	ruoh
儿	erlu
匕	biuh
几	jihn
几	jihn
九	jqkn
刁	dcsm
了	lenn
了	lcnn
刀	dksh
力	liks
乃	nlns
又	ybnk
三	sjmm
干	gjmj
干	gjmj
于	yumd
亏	kvms
工	gsmm
土	tug
士	uijm
才	cldh
下	xwmy
寸	cpdi
大	dak
大	dlk
大	tlk
丈	vhjk
与	yuym
与	yuym
与	yuym
万	wjms
万	moms
上	uhym
上	uhym
小	xcnc
口	kbr
山	uju
巾	jnlb
千	qmhj
乞	qion
川	irll
亿	yion
个	geol
个	geol
夕	xini
久	jqno
么	mehi
么	mohi
么	mahi
么	ykhi
勺	ukpm
凡	fjhi
丸	wjki
及	jine
广	gdyh
广	jyh
亡	whyv
亡	wuyv
门	mfls
丫	yacl
义	yiik
之	viio
尸	uis
己	jisu
已	yisu
巳	siru
弓	gsn
子	zind
卫	wzsm
也	yepd
女	nvv
女	ruv
刃	rfsi
飞	fzno
习	xism
叉	iaei
叉	iaei
叉	iaei
马	manm
乡	xdvh
丰	fgqj
王	whmg
王	whmg
开	klmt
井	jytt
天	tmmk
夫	fuqo
夫	fuqo
元	yrmu
无	wumu
无	momu
云	ypmi
专	vrqi
丐	glms
扎	zaqu
扎	vaqu
扎	vaqu
艺	yitn
木	mud
五	wumm
支	vije
厅	tymn
不	bumf
不	fbmf
犬	qrik
太	tlki
区	qusk
区	bsk
历	lims
歹	dlmi
友	ybke
尤	ybiu
匹	pisc
车	iekq
车	jukq
巨	juss
牙	yamh
屯	tppu
屯	vppu
戈	gei
比	bipp
互	humm
切	qxph
切	qxph
瓦	wami
瓦	wami
止	viym
少	ukfh
少	ukfh
曰	yta
日	ria
中	vsl
中	vsl
贝	bzbo
冈	ghbk
内	nzob
内	naob
水	uve
见	jmbu
见	xmbu
午	wuoj
牛	nqhq
手	ubq
气	qion
毛	mkhu
壬	rfhg
升	ught
夭	ykhk
长	ihpo
长	vhpo
仁	rfom
什	uioj
什	ufoj
片	pmll
片	pmll
仆	puoy
仆	puoy
化	hwop
化	hwop
仇	ibon
仇	qqon
币	bihb
仍	rgos
仅	jnoe
仅	jnoe
斤	jnhl
爪	vkho
爪	vwho
反	fjhe
介	jxol
父	fuck
父	fuck
从	csoo
从	zsoo
仑	lpop
今	jnon
凶	xsuk
分	ffch
分	ffch
乏	faho
公	gsci
仓	chou
月	ytb
氏	uihp
氏	vihp
勿	wuph
欠	qmno
风	fghk
风	fghk
丹	djby
匀	yppm
乌	wupm
勾	gbpi
勾	gbpi
凤	fghe
六	lqyc
六	luyc
文	wfyk
亢	khyn
方	fhys
火	hof
为	wzii
为	wzii
斗	dbyj
斗	dbyj
忆	yipn
计	jiij
订	dyin
户	huis
认	rfio
冗	rsbn
讥	jiin
心	xnp
尺	iiso
尺	ieso
引	ynnl
丑	ibng
巴	baau
孔	ksnu
队	dvno
办	bjkc
以	yivo
允	ypiu
予	yunn
予	yunn
邓	dgel
劝	qres
双	udee
书	uuis
幻	hrvs
玉	yumi
刊	kjmn
未	wzjd
末	modj
示	uimf
击	jiqu
打	daqn
打	daqn
巧	qcms
正	vgmm
正	vgmm
扑	puqy
卉	hvjt
扒	baqc
扒	paqc
功	gsms
扔	rgqs
去	qugi
甘	gjtm
世	uipt
艾	ltk
艾	yitk
古	gujr
节	jxtl
节	jxtl
本	bfdm
术	uuid
术	uuid
术	vuid
可	kemr
可	kemr
丙	bymb
左	zokm
厉	lims
石	uimr
石	djmr
右	ybkr
布	bukb
夯	hhks
夯	bfks
戊	wuih
龙	lsip
平	pymj
灭	mxmf
轧	yaku
轧	vaku
轧	gaku
东	dskd
卡	kayy
卡	qwyy
北	bzlp
北	bzlp
占	vjyr
占	vjyr
凸	tubs
卢	luys
业	yetc
旧	jqla
帅	uylb
归	gvlm
旦	djam
目	mubu
且	qxbm
且	jubm
叶	yerj
叶	xxrj
甲	jwwl
申	ufll
叮	dyrn
电	dmlu
号	hkrs
号	hkrs
田	tmw
由	yblw
只	virc
只	virc
叭	barc
史	uilk
央	yhlk
兄	xsru
叽	jirn
叼	dcrm
叫	jcrl
叩	kbrl
叨	tkrh
叨	dkrh
另	lyrs
叹	tjre
冉	rjgb
皿	mnbt
凹	ksu
凹	wasu
囚	qqwo
四	siwc
生	ughm
矢	uiok
失	uiho
乍	vaos
禾	hehd
丘	qqom
付	fuoi
仗	vhok
代	dlop
仙	xmou
们	mfos
仪	yiok
白	blha
仔	ziod
仔	ziod
仔	zlod
他	taod
斥	iihy
瓜	gwho
乎	huhd
丛	csom
令	lyoi
令	lyoi
令	lyoi
用	ysbq
甩	uybu
印	ynhl
尔	ernf
乐	lehd
乐	ythd
乐	ykhd
乐	lkhd
句	jupr
句	gbpr
匆	cspk
册	cebm
卯	mkhl
犯	fjku
外	wlny
处	iuho
处	iuho
冬	dshy
鸟	ncpm
鸟	dcpm
务	wuhs
包	bkpu
饥	jinn
主	vuyg
市	uiyb
立	liyt
冯	fgim
冯	pyim
玄	xryi
