一	m
丁	mn
七	ju
三	mmm
下	my
丈	jk
上	ym
丑	ng
丐	myvs
不	mf
丙	mob
世	pt
丕	mfm
且	bm
丘	om
丞	nem
丟	mgi
並	ttc
丫	cl
中	l
串	ll
丸	kni
凡	hni
丹	by
主	yg
乃	nhs
久	no
么	hi
之	ino
尹	sk
乍	os
乏	hino
乎	hfd
乒	omh
乓	omi
乖	hjlp
乘	hdlp
乙	nu
九	kn
也	pd
乞	on
乩	yru
乳	bdu
乾	jjon
亂	bbu
了	nn
予	ninn
事	jlln
二	mm
于	md
云	mmi
井	tt
互	mvnm
五	mdm
亙	mbm
些	ypmm
亞	mllm
亟	mem
亡	yv
交	yck
亦	ylnc
亥	yvho
亨	yrnn
享	yrnd
京	yrf
亭	yrbn
亮	yrbu
人	o
仁	omm
什	oj
仃	omn
仆	oy
仇	okn
仍	onhs
今	oin
介	oll
仄	mo
以	vio
付	odi
仔	ond
仕	og
他	opd
仗	ojk
代	oip
令	oini
仙	ou
仞	oshi
仿	oyhs
伉	oyhn
伙	of
伊	osk
伕	oqo
伍	omdm
伐	oi
休	od
伏	oik
仲	ol
件	ohq
任	ohg
仰	ohvl
仳	opp
份	ocsh
企	oylm
位	oyt
住	oyg
佇	ojmn
佗	ojp
佞	ommv
伴	ofq
佛	olln
何	omnr
估	ojr
佐	okm
佑	okr
伽	oksr
伺	osmr
伸	olwl
佃	ow
佔	oyr
似	ovio
但	oam
佣	obq
作	oos
你	onf
伯	oha
低	ohpm
伶	ooii
余	omd
佝	opr
佯	otq
依	oyhv
侍	ogdi
佳	ogg
使	ojlk
佬	ojkp
供	otc
例	omnn
來	doo
侃	orhu
佰	oma
併	ott
侈	onin
佩	ohnb
佻	olmo
侖	ombt
佾	ocb
侏	ohjd
信	oymr
侵	osme
侯	onmk
便	omlk
俠	okoo
俑	onib
俏	ofb
保	ord
促	oryo
侶	orhr
俘	obnd
俟	oiok
俊	oice
俗	ocor
侮	oowy
俐	ohdn
俄	ohqi
係	ohvf
俚	owg
俎	oobm
俞	ombn
倌	ojrr
倍	oytr
倣	oysk
俯	oioi
倦	ofqu
倥	ojcm
俸	oqkq
倩	oqmb
倖	ogtj
倆	omlb
值	ojbm
借	ota
倚	okmr
倒	omgn
們	oan
俺	oklu
倀	osmv
倔	osuu
倨	osjr
俱	obmc
倡	oaa
個	owjr
候	olnk
倘	ofbr
俳	olmy
修	oloh
倭	ohdv
倪	ohxu
俾	ohwj
倫	oomb
倉	oiar
偺	ohoa
偽	oikf
停	oyrn
假	orse
偃	osav
偌	otkr
做	ojrk
偉	odmq
健	onkq
偶	owlb
偎	owmv
偕	oppa
偵	oybc
側	obcn
偷	oomn
偏	ohsb
倏	olok
傢	ojmo
傍	oybs
傅	oibi
備	othb
傑	onqd
傀	ohui
傖	ooir
傘	oooj
傭	oilb
債	oqmc
傲	ogsk
傳	ojii
僅	otlm
傾	opmc
催	ouog
傷	ooah
傻	ohce
傯	ohwp
僧	ocwa
僮	oytg
僥	oggu
僖	ogrr
僭	omua
僚	okcf
僕	otco
像	onao
僑	ohkb
僱	ohsg
億	oytp
儀	otgi
僻	osrj
僵	omwm
價	omwc
儂	otwv
儈	ooma
儉	oomo
儒	ombb
儘	olmt
儔	ogni
儐	ojmc
優	ombe
償	ofbc
儡	owww
儲	oyra
儷	ommp
儼	orrk
兀	mu
元	mmu
允	ihu
充	yihu
兄	rhu
光	fmu
兇	ukhu
兆	lmuo
先	hghu
兌	crhu
克	jrhu
兕	ssuu
免	nahu
兔	nahi
兒	hxhu
兗	ycrhu
兜	hvhu
兢	jujru
入	oh
內	ob
全	omg
兩	mlbo
八	ho
六	yc
兮	cmvs
公	ci
共	tc
兵	omc
具	bmmc
其	tmmc
典	tbc
兼	txc
冀	lpwtc
冉	gb
冊	bt
再	mgb
冒	abu
冑	lwb
冕	anau
最	asje
冗	bhn
冠	bmui
冤	bnai
冥	bayc
冢	bmso
冬	hey
冰	ime
冶	imir
冷	imoii
冽	immnn
凍	imdw
凌	imgce
准	imog
凋	imbgr
凜	imywd
凝	impko
几	hn
凰	hnhag
凱	uthn
凳	nthn
凶	uk
凹	ssu
出	uu
凸	bss
函	une
刀	sh
刁	sm
刃	shi
分	csh
切	psh
刈	kln
刊	mjln
列	mnln
刑	mtln
划	iln
刎	phln
別	rsln
判	fqln
利	hdln
刪	btln
刨	puln
刻	yoln
券	fqsh
刷	sbln
刺	dbln
到	mgln
刮	hrln
制	hbln
剁	hdln
剎	kcln
剃	chln
削	fbln
前	tbln
剌	dlln
剋	juln
則	bcln
剖	yrln
剜	juln
剔	ahln
剛	buln
剝	veln
剪	tbnh
副	mwln
割	jrln
剴	utln
創	orln
剩	hpln
剿	vdln
剷	ymln
