一	m
丁	mn
七	ju
三	mm
下	my
丈	jk
上	ym
丑	ng
丐	ms
不	mf
丙	mb
世	pt
丕	mm
且	bm
丘	om
丞	nm
丟	mi
並	tc
丫	cl
中	l
串	ll
丸	ki
凡	hi
丹	by
主	yg
乃	ns
久	no
么	hi
之	io
尹	sk
乍	os
乏	ho
乎	hd
乒	oh
乓	oi
乖	hp
乘	hp
乙	nu
九	kn
也	pd
乞	on
乩	yu
乳	bu
乾	jn
亂	bu
了	nn
予	nn
事	jn
二	mm
于	md
云	mi
井	tt
互	mm
五	mm
亙	mm
些	ym
亞	mm
亟	mm
亡	yv
交	yk
亦	yc
亥	yo
亨	yn
享	yd
京	yf
亭	yn
亮	yu
人	o
仁	om
什	oj
仃	on
仆	oy
仇	on
仍	os
今	on
介	ol
仄	mo
以	vo
付	oi
仔	od
仕	og
他	od
仗	ok
代	op
令	oi
仙	ou
仞	oi
仿	os
伉	on
伙	of
伊	ok
伕	oo
伍	om
伐	oi
休	od
伏	ok
仲	ol
件	oq
任	og
仰	ol
仳	op
份	oh
企	om
位	ot
住	og
佇	on
佗	op
佞	ov
伴	oq
佛	on
何	or
估	or
佐	om
佑	or
伽	or
伺	or
伸	ol
佃	ow
佔	or
似	oo
但	om
佣	oq
作	os
你	of
伯	oa
低	om
伶	oi
余	od
佝	or
佯	oq
依	ov
侍	oi
佳	og
使	ok
佬	op
供	oc
例	on
來	do
侃	ou
佰	oa
併	ot
侈	on
佩	ob
佻	oo
侖	ot
佾	ob
侏	od
信	or
侵	oe
侯	ok
便	ok
俠	oo
俑	ob
俏	ob
保	od
促	oo
侶	or
俘	od
俟	ok
俊	oe
俗	or
侮	oy
俐	on
俄	oi
係	of
俚	og
俎	om
俞	on
倌	or
倍	or
倣	ok
俯	oi
倦	ou
倥	om
俸	oq
倩	ob
倖	oj
倆	ob
值	om
借	oa
倚	or
倒	on
們	on
俺	ou
倀	ov
倔	ou
倨	or
俱	oc
倡	oa
個	or
候	ok
倘	or
俳	oy
修	oh
倭	ov
倪	ou
俾	oj
倫	ob
倉	or
偺	oa
偽	of
停	on
假	oe
偃	ov
偌	or
做	ok
偉	oq
健	oq
偶	ob
偎	ov
偕	oa
偵	oc
側	on
偷	on
偏	ob
倏	ok
傢	oo
傍	os
傅	oi
備	ob
傑	od
傀	oi
傖	or
傘	oj
傭	ob
債	oc
傲	ok
傳	oi
僅	om
傾	oc
催	og
傷	oh
傻	oe
傯	op
僧	oa
僮	og
僥	ou
僖	or
僭	oa
僚	of
僕	oo
像	oo
僑	ob
僱	og
億	op
儀	oi
僻	oj
僵	om
價	oc
儂	ov
儈	oa
儉	oo
儒	ob
儘	ot
儔	oi
儐	oc
優	oe
償	oc
儡	ow
儲	oa
儷	op
儼	ok
兀	mu
元	mu
允	iu
充	yu
兄	ru
光	fu
兇	uu
兆	lo
先	hu
兌	cu
克	ju
兕	su
免	nu
兔	ni
兒	hu
兗	yu
兜	hu
兢	ju
入	oh
內	ob
全	og
兩	mo
八	ho
六	yc
兮	cs
公	ci
共	tc
兵	oc
具	bc
其	tc
典	tc
兼	tc
冀	lc
冉	gb
冊	bt
再	mb
冒	au
冑	lb
冕	au
最	ae
冗	bn
冠	bi
冤	bi
冥	bc
冢	bo
冬	hy
冰	ie
冶	ir
冷	ii
冽	in
凍	iw
凌	ie
准	ig
凋	ir
凜	id
凝	io
几	hn
凰	hg
凱	un
凳	nn
凶	uk
凹	su
出	uu
凸	bs
函	ue
刀	sh
刁	sm
刃	si
分	ch
切	ph
刈	kn
刊	mn
列	mn
刑	mn
划	in
刎	pn
別	rn
判	fn
利	hn
刪	bn
刨	pn
刻	yn
券	fh
刷	sn
刺	dn
到	mn
刮	hn
制	hn
剁	hn
剎	kn
剃	cn
削	fn
前	tn
剌	dn
剋	jn
則	bn
剖	yn
剜	jn
剔	an
剛	bn
剝	vn
剪	th
副	mn
割	jn
剴	un
創	on
剩	hn
剿	vn
剷	yn
剽	mn
劃	ln
劇	yn
劈	sh
劉	hn
劍	on
劑	yn
力	ks
加	kr
功	ms
劣	fs
劫	gs
助	bs
努	vs
劬	ps
劾	ys
勇	ns
勉	ns
勃	js
勁	ms
勒	ts
務	ns
勘	ts
動	hs
勞	fs
勝	bs
勛	rs
募	ts
勦	vs
勤	ts
勢	gs
勵	ms
勸	ts
勻	pm
勾	pi
勿	ph
包	pu
匆	pk
匈	pk
匍	pb
匐	pw
匏	ku
匕	uh
化	op
北	lp
匙	ap
匝	sb
匡	sg
匠	sl
匣	sl
匪	sy
匯	sg
匱	sc
匹	sc
匿	sr
區	sr
匾	sb
十	j
千	hj
午	oj
升	ht
卅	tj
仟	oj
半	fq
卉	jt
卒	yj
協	js
卓	yj
卑	hj
