一	yim
丁	dymn
丁	vgmn
七	qiju
三	sjmm
下	xwmy
丈	vhjk
上	uhym
上	uhym
丑	ibng
丐	glms
不	bumf
不	fbmf
丙	bymb
世	uipt
丕	pimm
且	qxbm
且	jubm
丘	qqom
丞	ignm
丟	dqmi
並	bytc
丫	yacl
中	vsl
中	vsl
串	irll
丸	wjki
凡	fjhi
丹	djby
主	vuyg
乃	nlns
久	jqno
么	mehi
么	mohi
么	mahi
么	ykhi
之	viio
尹	ynsk
乍	vaos
乏	faho
乎	huhd
乒	pyoh
乓	phoi
乖	gyhp
乘	ighp
乘	ughp
乙	yinu
九	jqkn
也	yepd
乞	qion
乩	jiyu
乳	rubu
乾	qmjn
乾	gjjn
亂	lrbu
了	lenn
了	lcnn
予	yunn
予	yunn
事	uijn
二	ermm
于	yumd
云	ypmi
井	jytt
互	humm
五	wumm
亙	gfmm
些	xxym
些	soym
亞	yamm
亞	yamm
亟	jimm
亟	qimm
亡	whyv
亡	wuyv
交	jcyk
亦	yiyc
亥	hlyo
亨	hgyn
亨	pgyn
享	xdyd
京	jyyf
亭	tyyn
亮	ldyu
人	rfo
仁	rfom
什	uioj
什	ufoj
仃	dyon
仆	puoy
仆	puoy
仇	ibon
仇	qqon
仍	rgos
今	jnon
介	jxol
仄	zemo
以	yivo
付	fuoi
仔	ziod
仔	ziod
仔	zlod
仕	uiog
他	taod
仗	vhok
代	dlop
令	lyoi
令	lyoi
令	lyoi
仙	xmou
仞	rfoi
仿	fhos
伉	khon
伙	hoof
伊	yiok
伕	fuoo
伍	wuom
伐	faoi
休	xqod
休	xuod
伏	fuok
仲	vsol
件	jmoq
任	rfog
任	rfog
仰	yhol
仰	hol
仳	piop
仳	piop
份	ffoh
份	bnoh
企	qiom
位	wzot
住	vuog
佇	vuon
佗	toop
佞	nyov
伴	bjoq
佛	foon
佛	fuon
佛	bion
佛	boon
何	heor
何	heor
何	heor
估	guor
估	guor
佐	zoom
佑	ybor
伽	qxor
伽	jwor
伽	gaor
伺	sior
伺	cior
伸	ufol
佃	dmow
佃	tmow
佔	vjor
佔	dmor
似	sioo
似	uioo
但	djom
佣	ysoq
佣	ysoq
作	zoos
你	niof
伯	booa
伯	bloa
伯	baoa
低	diom
伶	lyoi
余	yuod
佝	gbor
佝	kbor
佯	yhoq
依	yiov
侍	uioi
佳	jwog
使	uiok
佬	lkop
供	gsoc
供	gsoc
例	lion
來	lldo
侃	kjou
佰	bloa
併	byot
侈	iion
佩	pzob
佻	tcoo
侖	lpot
佾	yiob
侏	vuod
信	xnor
信	ufor
侵	qnoe
侯	hbok
侯	hbok
便	bmok
便	pmok
俠	xwoo
俑	ysob
俏	qcob
俏	xcob
